headline,authors,link,short_description,date,c_id
how to deal with summer travel debt,"credit.com, contributor
expert information about credit scoring, credit reporting and ...",https://www.huffingtonpost.com/entry/how-to-deal-with-summer-t_us_5b9c44afe4b03a1dcc7d7b75,"how to deal with summer travel debtif you find yourself with debt left over from travel, here are five tips for how to get out of it -- and avoid the same problem next summer.",2012-09-13,1
wandering along south africa's wild coast (photos),"robert schrader, contributor
writer, photographer, world traveler",https://www.huffingtonpost.com/entry/south-africa-wild-coast_us_5b9cd5d7e4b03a1dcc8245a8,"wandering along south africa's wild coast (photos)although the dawn of democracy has (slowly) started to integrate the transkei with the rest of south africa on a number of levels, the region still eludes many foreign and south african travelers.",2013-02-19,1
top adventurous activities in north america (photos),"g adventures, contributor
world leader in adventure travel",https://www.huffingtonpost.com/entry/top-adventurous-activitie_us_5b9c5eb0e4b03a1dcc7e295b,"top adventurous activities in north america (photos)there are vast patches of north america that are still left to be discovered, so gear up and prepare for an adrenaline rush.",2012-10-19,1
lebanese president calls on saudis to explain why ex-pm has not returned,"ellen francis, reuters",https://www.huffingtonpost.com/entry/lebanon-saudi-arabia-hariri-why-not-returned_us_5a0724abe4b0e37d2f37bad5,"lebanese president calls on saudis to explain why ex-pm has not returnedpresident michel aoun told foreign ambassadors that hariri, who resigned suddenly while in saudi arabia a week ago, had been âkidnapped.""",2017-11-11,0
besieged syrians are eating trash to survive,jesselyn cook,https://www.huffingtonpost.com/entry/syria-eastern-ghouta-starvation_us_5a15ccd2e4b025f8e9333e45,besieged syrians are eating trash to survivechildren are dying of starvation in the rebel-held region of eastern ghouta.,2017-11-23,0
10 ways to speed through airport security,"smartertravel, contributor
smartertravel.com",https://www.huffingtonpost.com/entry/10-ways-to-speed-through_us_5b9c910be4b03a1dcc7fde97,"10 ways to speed through airport securitysince shoes must be kicked off during screening at u.s. airports, remember to wear easily removable ones if possible.",2012-11-30,1
first time to peru? 10 best things to do and see,"malerie yolen-cohen, contributor
publisher, getawaymavens.com; northeast getaway expert",https://www.huffingtonpost.com/entry/first-time-to-peru-ten-be_us_5b9dcbb6e4b03a1dcc8cfba9,"first time to peru? 10 best things to do and seewhile attempting to recreate hiram bingham's 1911 trek and ""discovery"" of machu picchu, adams also reflects on the inca civilization that built these ancient cities throughout peru in the 13th -16th centuries and its final showdown with spain in the mid 1500's.",2014-01-21,1
"with kim jong un's surprise visit, china sends a clear message: it will not be excluded",jesselyn cook,https://www.huffingtonpost.com/entry/china-kim-jong-un-exclusion-anxiety_us_5abbb7aae4b04a59a3138fc5,"with kim jong un's surprise visit, china sends a clear message: it will not be excludedexperts believe beijing is reeling from ""exclusion anxiety"" ahead of pyongyang's denuclearization summits with seoul and washington.",2018-03-29,0
a tour of the future in hong kong,"peter mandel, contributor
washington post contributor, children's book author",https://www.huffingtonpost.com/entry/a-tour-of-the-future-in-h_us_5b9dab43e4b03a1dcc8b2745,"a tour of the future in hong kongnames of cities are not just collections of letters. when you read ""rome"" or hear ""hanoi"" you get a firecracker flash. a row of mental lightbulbs pops on, you see a private marquee picture of the place, and then, when you think of something else, it's gone.",2013-11-25,1
how to travel the world for free,"dalene heck, contributor
hecktic travels",https://www.huffingtonpost.com/entry/how-to-travel-the-world-for-free_us_5b9d5889e4b03a1dcc86e8ad,"how to travel the world for freeour list of temporary ""homes"" have included a brownstone in manhattan, a villa in southern spain, a 10th century manor in rural ireland, and more. and for all of these exciting living arrangements, we haven't paid a cent.",2013-07-16,1
sustainable development and sustaining peace: 2 sides of the same coin,"magdy martã­nez-solimã¡n, contributorun assistant secretary general, undp assistant administrator a...",https://www.huffingtonpost.com/entry/sustainable-development-and-sustaining-peace-two-sides_us_596f82a7e4b0cb7be67b5adb,"sustainable development and sustaining peace: 2 sides of the same cointhis op-ed is co-authored by magdy martã­nez-solimã¡n, un assistant secretary-general in undp and oscar fernã¡ndez-taranco, un",2017-07-19,0
where to go for yoga and ski,"alison lewis, contributor
founder and editor-in-chief, healthy travel",https://www.huffingtonpost.com/entry/where-to-go-for-yoga-and_us_5b9db83ce4b03a1dcc8bf3da,"where to go for yoga and skiif you're looking for the answer for where to go this spring for ski, sports, winter fun, history, and beauty, head to the canadian rockies to the fairmont chateau lake louise.",2013-12-17,1
beautiful lighthouses in america (photos),"travel + leisure, contributor
travelandleisure.com",https://www.huffingtonpost.com/entry/beautiful-lighthouses-in_us_5b9d708fe4b03a1dcc88067b,"beautiful lighthouses in america (photos)shrouded in fog and booby-trapped by rocks hiding in the shallows, maine's portland harbor is treacherous. since 1791, the",2013-08-16,1
uganda struggles to cope as 1 million south sudanese refugees pour in,"jason patinkin, reuters",https://www.huffingtonpost.com/entry/uganda-1-million-refugees-south-sudan_us_59958c04e4b0acc593e581d2,uganda struggles to cope as 1 million south sudanese refugees pour inthe conflict has created africaâs biggest refugee crisis since the 1994 rwandan genocide.,2017-08-17,0
pope francis just missed a huge opportunity to advocate for rohingyas,willa frej,https://www.huffingtonpost.com/entry/pope-francis-myanmar-rohingya_us_5a1bd2d1e4b0649480755581,"pope francis just missed a huge opportunity to advocate for rohingyashe alluded to ""justice and respect for human rights"" but did not specifically mention the persecuted ethnic minority.",2017-11-28,0
airplane boneyards look even cooler in instagram photos,suzy strutner,https://www.huffingtonpost.com/entry/airplane-boneyard_us_5b9d82d6e4b03a1dcc88f0c2,airplane boneyards look even cooler in instagram photoswhere do all good little military planes go after their time of service is up? answer: the boneyard. those photos are from,2013-09-13,1
october was mexico's deadliest month on record,jesselyn cook,https://www.huffingtonpost.com/entry/mexico-october-deadliest-month_us_5a158a7ee4b09650540e9189,october was mexico's deadliest month on recordthere has been an average of 69 killings per day in the crisis-torn country this year.,2017-11-22,0
the best italian recipes to celebrate peach season,"luigi f. di biagio, la dolce vita",https://www.huffingtonpost.com/entry/the-best-italian-recipes-to-celebrate-peach-season_us_578fe674e4b00c9876cde490,"the best italian recipes to celebrate peach seasonthe peach tree is native to china and grows spontaneously in persia. its fruit is distinguished by the early variety, which",2016-07-20,1
rohingya refugees in bangladesh fear return to myanmar,willa frej,https://www.huffingtonpost.com/entry/rohingya-return-myanmar-fear_us_5a608c48e4b062a7df0b560c,"rohingya refugees in bangladesh fear return to myanmar""they will slaughter us all,"" one said.",2018-01-20,0
feria de las flores - fun in the flower capital of latin america,"jeff thelen, contributor
co-founder of thefigco",https://www.huffingtonpost.com/entry/feria-de-las-flores-the-p_us_5b9d779ce4b03a1dcc885a74,"feria de las flores - fun in the flower capital of latin americathe feria de las flores (flower festival) is not to be missed. the fun isn't just limited to flowers. with a classic car show, a horse parade, concerts and the namesake desfile de silleteros, or flower parade, there is no shortage of things to do during the 10 day festival.",2013-08-28,1
"the united nations has its own sexual harassment problem, new report says",antonia blumberg,https://www.huffingtonpost.com/entry/united-nations-sexual-harassment-assault_us_5a60f836e4b05085db6099ea,"the united nations has its own sexual harassment problem, new report saysa new story sheds light on the systematic issues it says allow sexual harassment and abuse to go largely unchecked.",2018-01-18,0
new season brings new ski lifts and terrain,"liftopia, contributor
largest online and mobile marketplace for lift tickets and oth...",https://www.huffingtonpost.com/entry/new-season-brings-new-ski_us_5b9dbeb2e4b03a1dcc8c5e97,"new season brings new ski lifts and terrainthe 2013-14 season has brought another slate of terrain expansions and new ski lifts. in some cases, the trend of bringing ""side-country"" in-bounds offers the flavor of rugged backcountry skiing, minus any serious avalanche concerns.",2013-12-30,1
conquering angel's landing,"steve hart, contributor
freelance writer",https://www.huffingtonpost.com/entry/conquering-angels-landing_us_5b9c0f16e4b03a1dcc7c1199,conquering angel's landingi grabbed hold of the first set of chains and completely froze.,2012-07-31,1
planning that visit to provence? look beyond the guidebooks,"jerry lanson, contributor
emerson college journalism professor",https://www.huffingtonpost.com/entry/planning-to-visit-provenc_us_5b9dec22e4b03a1dcc8ecf7d,"planning that visit to provence? look beyond the guidebooksputting too much stock in guidebooks limits the serendipity of surprise and the opportunity to slow down and see the roadside flowers. that's especially true in a provence, a region dotted with small villages and vineyards, cafes and crossroads, bustling markets and ruins, seemingly around every curve.",2014-03-13,1
5 hip and cool yoga destinations,"alison lewis, contributor
founder and editor-in-chief, healthy travel",https://www.huffingtonpost.com/entry/yoga-destinations_us_5b9d98cee4b03a1dcc89f8c7,"5 hip and cool yoga destinationstake your yoga practice to new heights with these beautiful destinations with unique, hip and cool yoga classes. regardless of the style of yoga you typically practice, you will find life-changing experiences here. grab your mat and check out my top five picks.",2013-10-19,1
france promises to 'defend net neutrality' in wake of fcc vote in u.s.,dominique mosbergen,https://www.huffingtonpost.com/entry/france-net-neutrality-fcc_us_5a366e4ee4b040881beb55d0,france promises to 'defend net neutrality' in wake of fcc vote in u.s.several u.s. allies have spoken up in support of a free and open internet.,2017-12-17,0
where kids can learn to love music,"sherrie nachman, contributor
travel writer and novelist",https://www.huffingtonpost.com/entry/where-kids-can-learn-to-love-music_us_5b9c483de4b03a1dcc7d8cab,"where kids can learn to love musictanglewood, the summer home of the boston symphony orchestra, makes it incredibly easy to introduce even young children to the joys of music.",2012-09-18,1
world's ugliest buildings (photos),"travel + leisure, contributor
travelandleisure.com",https://www.huffingtonpost.com/entry/worlds-ugliest-buildings_us_5b9c7596e4b03a1dcc7edc75,"world's ugliest buildings (photos)to compile our list of the world's ugliest structures, we consulted with architects and design experts as well as the general public. pretty much everybody had something to say.",2012-11-13,1
iceland's proposed ban on male circumcision alarms religious leaders,dominique mosbergen,https://www.huffingtonpost.com/entry/iceland-male-circumcision_us_5a8a8794e4b00bc49f45bf26,iceland's proposed ban on male circumcision alarms religious leadersbackers of the proposed law say circumcision violates the rights of children. religious leaders say it tramples their beliefs.,2018-02-19,0
"caught between police and gangs, rio de janeiro residents are dying in the line of fire","the conversation global, contributorthe conversation is a collaboration between editors and academ...",https://www.huffingtonpost.com/entry/caught-between-police-and-gangs-rio-de-janeiro-residents_us_59b7ff12e4b0678066213ea7,"caught between police and gangs, rio de janeiro residents are dying in the line of fireby robert muggah, pontifical catholic university of rio de janeiro (puc-rio) in rio de janeiro, where murder rates this year",2017-09-18,0
polish woman says she was dragged out of church after unfurling anti-racism banner,carol kuruvilla,https://www.huffingtonpost.com/entry/polish-anti-racism-banner-church_us_5a0e10ece4b0dd63b1a95b1f,"polish woman says she was dragged out of church after unfurling anti-racism bannerher banner read, ""racism is a sin.""",2017-11-17,0
"antarctica's remote, towering mountains","ed stump, contributor
professor, school of earth and space exploration at arizona st...",https://www.huffingtonpost.com/entry/antarcticas-remote-towering-mountains_us_5b9c9cfbe4b03a1dcc804be9,"antarctica's remote, towering mountainsstraddling the continent of antarctica, the transantarctic mountains are the most remote mountain belt on earth.",2012-12-13,1
7 steps to finding the best airplane seat,"chris lopinto, contributor
co-founder & president, expertflyer.com",https://www.huffingtonpost.com/entry/7-steps-airplane-seat_us_5b9cb423e4b03a1dcc810883,7 steps to finding the best airplane seatairlines will generally hold back certain choice seats for assignment to their elite frequent flyers. if these seats are not assigned they will then be released at the airport just before flight time.,2013-01-14,1
5 great spring break travel tips for families,"lisa lori, contributor
founder, the perfect provenance",https://www.huffingtonpost.com/entry/5-great-spring-break-trav_us_5b9df102e4b03a1dcc8f2c19,"5 great spring break travel tips for familiesbefore you go away for a week, weekend or even just a much needed overnight getaway, here are a few of my travel tips to make the most of your getaway.",2014-03-24,1
the problem with tsa pat-downs (video),"christopher elliott, contributor
author, how to be the world's smartest traveler (and save time...",https://www.huffingtonpost.com/entry/whats-the-problem-with-th_us_5b9c685de4b03a1dcc7e69b7,"the problem with tsa pat-downs (video)he said it's all for show. ""it's like a circus,"" he told me.",2012-10-15,1
cathay pacific crew say they saw north korean missile 'blow up and fall apart',dominique mosbergen,https://www.huffingtonpost.com/entry/cathay-pacific-north-korea-missile_us_5a2525cde4b0a02abe923b35,cathay pacific crew say they saw north korean missile 'blow up and fall apart'the airline said it would not alter its flight routes in the region despite the suspected sighting.,2017-12-04,0
"iceland's most famous waterfall is big enough to stand inside, which is pretty incredible",suzy strutner,https://www.huffingtonpost.com/entry/seljalandsfoss_us_5b9df584e4b03a1dcc8f8736,"iceland's most famous waterfall is big enough to stand inside, which is pretty incredibleit also means you can see the northern lights... from inside a waterfall. the most insane part of seljalandsfoss, though",2014-04-06,1
tel aviv: an essential europop pitstop,"off track planet, contributorthe independent travel lifestyles guide for the young, sexy an...",https://www.huffingtonpost.com/entry/tel-aviv-an-essential-eur_b_4948248.html,"tel aviv: an essential europop pitstop'the city that never sleeps' has been coined for more than a few of the world's greatest urban playgrounds. add tel aviv to the list. despite what you may have heard, israel isn't all conflict and camels.",2014-04-27,1
see italy with great tour guides,"kathy mccabe, contributor
founder and publisher, dream of italy travel newsletter",https://www.huffingtonpost.com/entry/see-italy-with-great-tour_us_5b9d62a5e4b03a1dcc875cd6,"see italy with great tour guidesitaly is so incredibly rich in history, culture, art and gastronomy that it is challenging to take in its many layers without consulting an expert.",2013-07-31,1
10 things that helped me reconnect with kathmandu,"niranjan kunwar, contributor
writer and educator",https://www.huffingtonpost.com/entry/ten-ways-i-reconnected-wi_us_5b9d81cee4b03a1dcc88e38b,"10 things that helped me reconnect with kathmanduevery city has its own wonders and pitfalls. so does kathmandu, nepal's capital city. returning to my hometown after a long stretch in the west was challenging in many ways. but over the past five months, i found ways to reconnect with kathmandu.",2013-09-12,1
these are the victims of the terrorist attacks in spain,willa frej and carla herreria,https://www.huffingtonpost.com/entry/victims-spain-terrorist-attacks_us_59967459e4b01f6e801dba0d,"these are the victims of the terrorist attacks in spainfourteen people were killed, including a californian celebrating his first anniversary.",2017-08-19,0
philippine congress agrees to extend mindanao martial law to end of year,"enrico dela cruz, reuters",https://www.huffingtonpost.com/entry/philippine-congress-agrees-to-extend-mindanao-martial-law-to-end-of-year_us_59735141e4b09e5f6ccfa538,philippine congress agrees to extend mindanao martial law to end of yearpresident rodrigo duterte placed the island under martial law in may when armed militants and foreign fighters stormed marawi city.,2017-07-22,0
from bumper cars to 'snow rooms': 17 over-the-top cruise amenities (photos),"travel + leisure, contributortravelandleisure.com",https://www.huffingtonpost.com/entry/from-bumper-cars-to-snow_b_7173774.html,"from bumper cars to 'snow rooms': 17 over-the-top cruise amenities (photos)in the world of cruising, there's a perpetual arms race between who has the biggest, baddest, most luxurious ship on the water. this one-upmanship goes for amenities, too.",2015-04-30,1
mexicoâs sex trafficking laws are hurting the people theyâre supposed to protect,katie schlechter,https://www.huffingtonpost.com/entry/mexico-lgbt-sex-workers-trafficking_us_5aabfbaee4b0337adf8382ed,mexicoâs sex trafficking laws are hurting the people theyâre supposed to protectthe country's law has become a tool to prosecute rather than protect sex workers.,2018-03-16,0
14 baffling tourist snapshots (photos),"the gypsynesters, contributor
contributor",https://www.huffingtonpost.com/entry/crazy-travel-photos_us_5b9c942ce4b03a1dcc7ffcc9,14 baffling tourist snapshots (photos)everyone who travels eventually has a what the?! moment -- we've certainly had our share. but why should we have all the fun?,2012-12-06,1
wonderful copenhagen,"rick steves, contributor
contributor",https://www.huffingtonpost.com/entry/wonderful-copenhagen_us_5b9d7c84e4b03a1dcc8894fd,"wonderful copenhageni'm kicking off the next phase of my summer research rounds, taking our brand-new northern european cruise ports guidebook",2013-09-03,1
cambodia's angkor vs. burma's bagan: which should you visit?,"lina eroh, contributor
full time wanderer + writer + entrepreneur",https://www.huffingtonpost.com/entry/cambodias-angkor-vs-burma_us_5b9de447e4b03a1dcc8e3c09,cambodia's angkor vs. burma's bagan: which should you visit?where else in the world will you feel like you're in legends of the hidden temple?,2014-02-25,1
now you can book your train ticket and flight all in one place,katelyn mullen,https://www.huffingtonpost.com/entry/amtrak-cheapair-booking_us_5b9dfcebe4b03a1dcc8ffc43,"now you can book your train ticket and flight all in one placeso you can book your flight, your hotel, your rental car and any combination necessary to get your trip rolling on the various",2014-04-17,1
the trump sanctions against venezuela: is economic recovery possible?,"mark weisbrot, contributorco-director, center for economic and policy research",https://www.huffingtonpost.com/entry/the-trump-sanctions-against-venezuela-is-economic_us_59b1a35fe4b0bef3378cdeab,"the trump sanctions against venezuela: is economic recovery possible?at the end of august, the trump administration imposed harsh sanctions on venezuela that prevent the country from borrowing",2017-09-07,0
michael symon's cleveland,"love letters, contributor
an anthology of reflections on places the world over",https://www.huffingtonpost.com/entry/michael_us_5b9bb6ede4b03a1dcc79d05a,"michael symon's clevelandyou could be so cruel. let's not even go into the winters, when the ""lake effect"" winds would have pissed off a penguin.",2012-05-16,1
satellite imagery shows entire rohingya villages destroyed,willa frej,https://www.huffingtonpost.com/entry/satellite-imagery-rohingya-villages_us_59c0d74ee4b0186c220563a6,satellite imagery shows entire rohingya villages destroyedmore than 200 villages have been burnt to the ground.,2017-09-19,0
left with no choice: egypt allows fans to attend international soccer matches,"james m. dorsey, contributors. rajaratnam school of international studies, senior fellow",https://www.huffingtonpost.com/entry/left-with-no-choice-egypt-allows-fans-to-attend-international_us_595f03b5e4b08f5c97d0688c,"left with no choice: egypt allows fans to attend international soccer matchescaught between a rock and a hard place, egyptian general-turned-president abdel fattah al-sisi has agreed to allow thousands",2017-07-07,0
5 totally amazing europe trips under $500,"smartertravel, contributorsmartertravel.com",https://www.huffingtonpost.com/entry/5-totally-amazing-europe_b_7024558.html,"5 totally amazing europe trips under $500the process of picking one place to visit in europe, with its wealth of stunning travel destinations, isn't easy. but for budget travelers, we have a few excellent ideas for planning an unforgettable vacation that's both marvelous and within your means.",2015-04-08,1
soft targets and tourist terrorism,"daniel wagner, contributorceo of country risk solutions and widely published author on c...",https://www.huffingtonpost.com/entry/soft-targets-and-tourist-terrorism_us_599a5dc4e4b033e0fbdec5bc,soft targets and tourist terrorismit seems that nearly every week now we are confronted by horrific headlines involving the carnage of tourists and ordinary,2017-08-21,0
iraq declares a brilliant victory in mosul: what are the lessons?,"abbas kadhim, contributorsenior foreign policy fellow, fpi-sais, johns hopkins university",https://www.huffingtonpost.com/entry/iraq-declares-a-brilliant-victory-in-mosul-what-are_us_5963be8ce4b0911162fc2e04,"iraq declares a brilliant victory in mosul: what are the lessons?three years ago, i was visiting iraq as the self-declared islamic state in iraq and syria (isis) was advancing fast in territories",2017-07-10,0
global hotel exchange (ghx) fights for what's right in online hotel booking,"relentless bill robinson, contributor
business, technology, politics & rock 'n roll journalist",https://www.huffingtonpost.com/entry/global-hotel-exchange-ghx_us_5b9b8fbfe4b03a1dcc789fa4,"global hotel exchange (ghx) fights for what's right in online hotel bookingjust like rockefeller was doing to small gas stations, these gigantic, well-entrenched online creatures can put smaller, independent travel businesses right out of business if they don't want to pay 35% of their revenues to these avaricious otas.",2012-04-16,1
young australians want pill testing at music fests and would heed the results,josh butler,https://www.huffingtonpost.com/entry/australians-pill-testing-music-festivals_us_5a602d8ee4b046f0811ce94a,"young australians want pill testing at music fests and would heed the resultseven though a survey indicated 90 percent would use the service, the testing hasn't been allowed.",2018-01-18,0
10 urban legends about flying that aren't true,"smartertravel, contributor
smartertravel.com",https://www.huffingtonpost.com/entry/10-urban-legends-about-fl_us_5b9d54cde4b03a1dcc86ba7d,"10 urban legends about flying that aren't truefrom terrifying tales about airplane bathrooms to mid-flight door-opening fears, there are a lot of myths about air travel flying around out there. here are 10 urban legends that just aren't true.",2013-07-08,1
let venezuela live!,"dan kovalik, contributorlabor & human rights lawyer",https://www.huffingtonpost.com/entry/let-venezuela-live_us_59e7a619e4b0153c4c3ec4ca,"let venezuela live!as the u.s. government callously watches its own citizens die in puerto rico, with the real death toll there currently at",2017-10-18,0
nyc: squeeze in a little more summer (video),"kate thomas, contributor
on-camera host and video producer, travelwithkate.com",https://www.huffingtonpost.com/entry/nyc-squeeze-in-a-little-m_us_5b9c5190e4b03a1dcc7dc5ec,nyc: squeeze in a little more summer (video)the summer just officially ended. but the weather is still great. let's pretend it's still summer on pier 84 at west 44th st. in manhattan.,2012-09-26,1
5 reasons to ride a train across canada (photos),"rebecca dolan, contributor
associate editor, huffington post travel",https://www.huffingtonpost.com/entry/top-5-reasons-to-ride-the_us_5b9c132fe4b03a1dcc7c27d9,"5 reasons to ride a train across canada (photos)the canadian landscape is actually quite diverse -- prairie plains, boreal forests, snow-capped mountains, temperate rain forests, maybe an abandoned logging town or two.",2012-08-21,1
the battle for mosul is coming to an end. now what?,jesselyn cook,https://www.huffingtonpost.com/entry/iraq-battle-for-mosul-what-comes-next_us_5964f81be4b09b587d624e30,"the battle for mosul is coming to an end. now what?iraq faces a long, challenging road toward reconstruction and reconciliation.",2017-07-13,0
25 adventure activities around the world,"viator, contributor
tours and activities around the world",https://www.huffingtonpost.com/entry/top-25-adventure-activities_us_5b9caf6ae4b03a1dcc80dcc2,"25 adventure activities around the worldwhether you're a first-timer or an experienced fisherman, the thrill of catching your own dinner is irresistible.",2013-01-25,1
10 things americans can learn from amsterdammers,"erin farber, contributor
travel writer",https://www.huffingtonpost.com/entry/10-things-americans-can-l_us_5b9c5b8be4b03a1dcc7e0c3f,"10 things americans can learn from amsterdammerswhile this small country may be relatively unfamiliar to many -- who confuse its guttural language with german and tall, blonde citizens with the danes -- there is actually a wealth of life lessons that americans can learn from the people of the low lands. here are my top 10. and no, none of them have to do with red lights or herbal delights.",2012-10-04,1
israel reportedly fires dozens of rockets into syria,"reuters staff, reuters",https://www.huffingtonpost.com/entry/syria-israeli-rockets_us_5af3a273e4b09bb419e4c2ab,israel reportedly fires dozens of rockets into syriathe move comes after israel accused iranian forces in syria of firing rockets into the golan heights.,2018-05-10,0
the north korea crisis looms over trump's visit to japan,nick robins-early,https://www.huffingtonpost.com/entry/japan-north-korea-trump_us_59ef5d25e4b0d14acdccb69a,"the north korea crisis looms over trump's visit to japansometimes a forgotten player in the crisis, japan is feeling the weight of the escalating nuclear tensions.",2017-11-05,0
cherry blossom tourism makes japan's economy bloom,"gail nakada, contributoramerican journalist in tokyo",https://www.huffingtonpost.com/entry/cherry-blossom-tourism-makes-japans-economy-bloom_b_6918232.html,"cherry blossom tourism makes japan's economy bloomin japan this spring, the color of money is pink. thanks to the weak yen, japan is suddenly affordable. visitors from asia and elsewhere are coming in record numbers to experience that most iconic of japanese events, cherry blossom season.",2015-03-24,1
"north korea's wounded defector a 'nice guy,' says surgeon","josh smith and heekyong yang, reuters",https://www.huffingtonpost.com/entry/north-koreas-wounded-defector-a-nice-guy-says-surgeon_us_5a1736c3e4b0cee6c04ed5b8,"north korea's wounded defector a 'nice guy,' says surgeonvideo of the soldier's escape showed him stumbling over the border and being dragged unconscious by south korean troops.",2017-11-23,0
don't look down: 9 hotels on the edge (photos),"oyster.com, contributor
the hotel tell-all",https://www.huffingtonpost.com/entry/hotels-on-the-edge-9-spot_us_5b9b779ee4b03a1dcc77d610,"don't look down: 9 hotels on the edge (photos)these nine hotels, from a cliff-side sanctuary to an uber-luxe mountaintop retreat, will test travelers who are even a little scared of heights.",2012-03-22,1
londoners search for new words of condolence at vigil for year's third terror attack,alana horowitz satlin,https://www.huffingtonpost.com/entry/london-bridge-attack-vigil_us_59357c70e4b0fa3f6ae639be,londoners search for new words of condolence at vigil for year's third terror attackattackers killed seven people in saturday's incident.,2017-06-05,0
10 astonishing cliffside attractions (photos),"trippy, contributor
get the best answers to your travel questions on trippy.com",https://www.huffingtonpost.com/entry/cliffside-attractions_us_5b9c83b5e4b03a1dcc7f5b2d,10 astonishing cliffside attractions (photos)time to take out the hiking boots.,2012-11-24,1
nobel peace prize winner warns that nuclear war is one 'tantrum away',nina golgowski,https://www.huffingtonpost.com/entry/nobel-peace-prize-winner-warns-of-nuclear-war_us_5a2d99c1e4b0a290f051a231,"nobel peace prize winner warns that nuclear war is one 'tantrum away'""we have avoided nuclear war not through prudent leadership but good fortune,"" said beatrice fihn, at the award ceremony in oslo.",2017-12-11,0
10 of the most beautiful places to visit in scotland,"viator, contributor
tours and activities around the world",https://www.huffingtonpost.com/entry/10-of-the-most-beautiful_us_5b9d68bce4b03a1dcc87aea5,10 of the most beautiful places to visit in scotlandwe can't make a list of scotland's most beautiful destinations without a nod to the historic capital. encircled by 7 hills,2013-08-13,1
carnival time in rio is fantasy time for travelers,"barbara barton sloane, contributor
travel editor, westchester guardian, www.barbarabartonsloane.com",https://www.huffingtonpost.com/entry/carnival-rio-de-janeiro-fantasy_us_5b9c8bd1e4b03a1dcc7fa657,"carnival time in rio is fantasy time for travelersgearing up for my first night of carnival, i spent an inordinate amount of time choosing my dress for the famed copacabana palace ball.",2012-11-22,1
father's day 2013: 8 mancations perfect for treating dad,"oyster.com, contributor
the hotel tell-all",https://www.huffingtonpost.com/entry/fathers-day-2013-8-mancat_us_5b9d3f21e4b03a1dcc85e83c,"father's day 2013: 8 mancations perfect for treating dadof course your dad is a family man, but this father's day why don't you give him a little break from the tots and chaos by sending him on a mancation?",2013-06-11,1
open our parks,"cody gossett, contributor
aol ad sales director turned world traveler",https://www.huffingtonpost.com/entry/open-our-parks_us_5b9d9162e4b03a1dcc8996e4,"open our parksthis isn't a political opinion. this is a plea. open our parks. we've been traveling across the u.s. visiting national parks, state parks, national monuments. we're disappointed by the closures, but it isn't us that i'm most concerned about.",2013-10-03,1
the exceptional traveler: are you sure you want to sign up for that tour?,"bonnie kassel, contributorartist; global travel writer; author, 'without a spare'",https://www.huffingtonpost.com/entry/are-you-sure-you-want-to-_1_b_5714097.html,"the exceptional traveler: are you sure you want to sign up for that tour?sri lanka has absolutely everything a traveler could want. miles of sugary beaches lined with palm trees, wildlife reserves, ancient ruins that house massive buddhas, historic colonial towns, a bounty of tropical fruits -- and it's safe.",2014-09-03,1
fire guts ancient tibetan town in south-west china: a photo essay,"mike arkus, contributor
journalist",https://www.huffingtonpost.com/entry/fire-guts-ancient-tibetan_us_5b9dc76be4b03a1dcc8ccb33,fire guts ancient tibetan town in south-west china: a photo essaythe lanes were so narrow that the fire trucks could not get through.,2014-01-13,1
israelâs quiet campaign to gain a foothold in southern syria,"nour samaha, syria deeply",https://www.huffingtonpost.com/entry/israels-quiet-campaign-to-gain-a-foothold-in-southern-syria_us_59567c76e4b0da2c73232a48,"israelâs quiet campaign to gain a foothold in southern syriadespite its official policy of non-intervention, israel has taken on a very proactive role in syria, working to establish",2017-06-30,0
potty time: the most luxurious bathrooms in lima (photos),"oyster.com, contributor
the hotel tell-all",https://www.huffingtonpost.com/entry/lima-the-most-luxurious-bathrooms_us_5b9c2ac9e4b03a1dcc7cc7dd,"potty time: the most luxurious bathrooms in lima (photos)at the end of a day of sightseeing and experiencing peruvian nightlife, the best place to relax is in one of these luxurious bathrooms featuring everything from jacuzzi tubs with expansive views to private saunas.",2012-08-31,1
"a ""brazillion"" reasons to visit brazil... world cup or not","trivago, contributorhotel search site",https://www.huffingtonpost.com/entry/a-brazillion-reasons-to-v_b_5582057.html,"a ""brazillion"" reasons to visit brazil... world cup or notyou didn't make it to brazil for the world cup? no worries! the south american nation's beautiful beaches, cosmopolitan cities and natural wonders are worth the trip no matter when you decide to go.",2014-07-14,1
dignity: you can't stop the tortugueros,"wallace j. nichols, phd, contributor
chief evangelist for water (ceh2o), buoy labs inc.",https://www.huffingtonpost.com/entry/dignity-you-cant-stop-the_us_5b9cdd7ae4b03a1dcc828acc,"dignity: you can't stop the tortuguerosprotecting sea turtles in northwest mexico is becoming generational and cool. people know that turtles are worth more alive than dead and that they represent ocean health, responsible fishing, and resilient communities.",2013-03-08,1
holidays in the caribbean,"p. andrew och, contributorproducer, writer, documentarian, photographer, historian, publ...",https://www.huffingtonpost.com/entry/holidays-in-the-caribbean_b_6087950.html,"holidays in the caribbeanone big reason to go to the caribbean during the holidays is that they want you there.  this brings the prices down on airfares, hotels, attractions, diving, water sports, shopping and more.  you can find special packages all over the islands to encourage holiday travel and visits.",2014-11-03,1
